"","gene_id","seqnames","start","end","width","strand","source","type","score","phase","gene_version","gene_name","gene_source","gene_biotype","transcript_id","transcript_name","transcript_source","transcript_biotype","exon_number","exon_id","protein_id","tag","Orthogroup"
"89","WBGene00023606","X",14537917,14539143,1227,"-","WormBase","gene",NA,NA,"1","CBG00131","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0013590"
"90","WBGene00023607","X",14551203,14566650,15448,"+","WormBase","gene",NA,NA,"1","Cbr-lin-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009017"
"91","WBGene00023609","X",14566644,14572765,6122,"-","WormBase","gene",NA,NA,"1","CBG00135","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000921"
"92","WBGene00023610","X",14574670,14576606,1937,"+","WormBase","gene",NA,NA,"1","Cbr-nekl-3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009016"
"93","WBGene00023612","X",14585475,14587907,2433,"+","WormBase","gene",NA,NA,"1","Cbr-glb-13","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009015"
"94","WBGene00023613","X",14591363,14592223,861,"+","WormBase","gene",NA,NA,"1","CBG00140","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0013276"
"95","WBGene00023614","X",14596224,14597015,792,"+","WormBase","gene",NA,NA,"1","CBG00142","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009014"
"96","WBGene00023615","X",14597009,14599029,2021,"-","WormBase","gene",NA,NA,"1","CBG00143","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0002603"
"97","WBGene00023616","X",14609589,14614106,4518,"-","WormBase","gene",NA,NA,"1","CBG00148","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0018341"
"98","WBGene00023617","X",14619757,14620165,409,"+","WormBase","gene",NA,NA,"1","CBG00150","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0002015"
"99","WBGene00023618","X",14628727,14629232,506,"+","WormBase","gene",NA,NA,"1","CBG00152","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0002015"
"100","WBGene00023619","X",14637841,14638209,369,"+","WormBase","gene",NA,NA,"1","CBG00154","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0002015"
"101","WBGene00023620","X",14661256,14662149,894,"+","WormBase","gene",NA,NA,"1","CBG00164","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0014261"
"102","WBGene00023621","X",14663306,14665954,2649,"-","WormBase","gene",NA,NA,"1","CBG00165","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0017071"
"103","WBGene00023623","X",14671941,14672898,958,"-","WormBase","gene",NA,NA,"1","CBG00168","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0001379"
"104","WBGene00023624","X",14676239,14677147,909,"-","WormBase","gene",NA,NA,"1","CBG00170","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0001130"
"105","WBGene00023625","X",14677881,14678402,522,"+","WormBase","gene",NA,NA,"1","CBG00171","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0001130"
"106","WBGene00023626","X",14678442,14682728,4287,"-","WormBase","gene",NA,NA,"1","Cbr-tsp-11","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009008"
"107","WBGene00023627","X",14685232,14696683,11452,"-","WormBase","gene",NA,NA,"1","Cbr-tmbi-4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009007"
"108","WBGene00023628","X",14691545,14693884,2340,"+","WormBase","gene",NA,NA,"1","CBG00175","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009006"
"109","WBGene00023630","X",14708032,14710559,2528,"+","WormBase","gene",NA,NA,"1","CBG00178","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0001486"
"110","WBGene00023631","X",14712924,14715084,2161,"-","WormBase","gene",NA,NA,"1","CBG00180","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0018342"
"111","WBGene00023632","X",14717400,14718294,895,"-","WormBase","gene",NA,NA,"1","CBG00181","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0011992"
"112","WBGene00023633","X",14718779,14723751,4973,"-","WormBase","gene",NA,NA,"1","CBG00182","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009004"
"113","WBGene00023634","X",14735326,14740328,5003,"-","WormBase","gene",NA,NA,"1","CBG00185","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009003"
"114","WBGene00023635","X",14741985,14742548,564,"-","WormBase","gene",NA,NA,"1","CBG00186","WormBase","pseudogene",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","WBGene00023636","X",14743666,14775575,31910,"-","WormBase","gene",NA,NA,"1","Cbr-ajm-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009002"
"116","WBGene00023640","X",14784416,14786053,1638,"+","WormBase","gene",NA,NA,"1","Cbr-taf-11.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0013591"
"117","WBGene00023641","X",14800146,14803249,3104,"-","WormBase","gene",NA,NA,"1","CBG00196","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0004633"
"118","WBGene00023642","X",14806135,14810656,4522,"-","WormBase","gene",NA,NA,"1","CBG00197","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0004632"
"119","WBGene00023643","X",14811927,14813936,2010,"-","WormBase","gene",NA,NA,"1","CBG00198","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0014262"
"120","WBGene00023644","X",14823786,14826584,2799,"-","WormBase","gene",NA,NA,"1","CBG00199","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0013275"
"121","WBGene00023645","X",14828946,14832520,3575,"-","WormBase","gene",NA,NA,"1","Cbr-nep-22","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0009001"
"122","WBGene00023646","X",14832776,14836604,3829,"-","WormBase","gene",NA,NA,"1","Cbr-snf-12","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0011658"
"123","WBGene00023647","X",14837127,14839477,2351,"-","WormBase","gene",NA,NA,"1","CBG00202","WormBase","pseudogene",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","WBGene00023648","X",14849079,14849702,624,"-","WormBase","gene",NA,NA,"1","CBG00204","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0012569"
"125","WBGene00023649","X",14853467,14854197,731,"-","WormBase","gene",NA,NA,"1","CBG00205","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0012569"
"126","WBGene00023650","X",14857309,14859417,2109,"-","WormBase","gene",NA,NA,"1","CBG00206","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0013592"
"127","WBGene00023651","X",14862753,14864514,1762,"-","WormBase","gene",NA,NA,"1","CBG00208","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0020718"
"128","WBGene00023652","X",14866589,14868646,2058,"-","WormBase","gene",NA,NA,"1","Cbr-srg-38","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0001216"
"129","WBGene00023653","X",14879927,14881532,1606,"+","WormBase","gene",NA,NA,"1","CBG00212","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0015453"
"130","WBGene00023654","X",14887266,14889169,1904,"+","WormBase","gene",NA,NA,"1","CBG00215","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0015453"
"131","WBGene00023655","X",14890163,14892378,2216,"-","WormBase","gene",NA,NA,"1","CBG00216","WormBase","pseudogene",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","WBGene00023656","X",14893666,14894935,1270,"+","WormBase","gene",NA,NA,"1","CBG00217","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0018343"
"133","WBGene00023657","X",14906540,14907637,1098,"+","WormBase","gene",NA,NA,"1","CBG00220","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0013593"
"134","WBGene00023658","X",14912530,14913958,1429,"+","WormBase","gene",NA,NA,"1","CBG00223","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0020719"
"135","WBGene00023659","X",14916175,14916750,576,"-","WormBase","gene",NA,NA,"1","CBG00224","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0013594"
"136","WBGene00023660","X",14922359,14922649,291,"+","WormBase","gene",NA,NA,"1","CBG00226","WormBase","pseudogene",NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","WBGene00023661","X",14923040,14925734,2695,"+","WormBase","gene",NA,NA,"1","CBG00227","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0000554"
"138","WBGene00023662","X",14938217,14946107,7891,"-","WormBase","gene",NA,NA,"1","CBG00230","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0003859"
"139","WBGene00023663","X",14946236,14948500,2265,"-","WormBase","gene",NA,NA,"1","CBG00231","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0010922"
"140","WBGene00023664","X",14951251,14953608,2358,"-","WormBase","gene",NA,NA,"1","CBG00232","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0003858"
"141","WBGene00023665","X",14953993,14958447,4455,"-","WormBase","gene",NA,NA,"1","Cbr-twk-18","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0006113"
"142","WBGene00023666","X",14961341,14965019,3679,"-","WormBase","gene",NA,NA,"1","Cbr-nmur-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0006112"
"143","WBGene00023667","X",14980561,14984012,3452,"+","WormBase","gene",NA,NA,"1","Cbr-aexr-3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,"OG0001872"
"144","WBGene00023668","X",14988579,14992900,4322,"+","WormBase","gene",NA,NA,"1","CBG00237","WormBase","pseudogene",NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","WBGene00023669","X",14995446,14996491,1046,"+","WormBase","gene",NA,NA,"1","CBG00238","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA,NA
