"","gene_id","seqnames","start","end","width","strand","source","type","score","phase","gene_version","gene_source","gene_biotype","transcript_id","transcript_source","transcript_biotype","exon_number","exon_id","protein_id","gene_name","Orthogroup"
"14","FL83_00014","scaffold_0",65203,67438,2236,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0009028"
"15","FL83_00015","scaffold_0",69497,70678,1182,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0011998"
"16","FL83_00016","scaffold_0",71361,73282,1922,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0009027"
"17","FL83_00017","scaffold_0",75129,76178,1050,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0011997"
"18","FL83_00018","scaffold_0",86114,87382,1269,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"19","FL83_00019","scaffold_0",88078,90829,2752,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0009026"
"20","FL83_00020","scaffold_0",91308,96842,5535,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0002434"
"21","FL83_00021","scaffold_0",98372,100422,2051,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006582"
"22","FL83_00022","scaffold_0",102724,105804,3081,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006583"
"23","FL83_00023","scaffold_0",106147,108558,2412,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006584"
"24","FL83_00024","scaffold_0",108838,117798,8961,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0003973"
"25","FL83_00025","scaffold_0",124689,128975,4287,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0003974"
"26","FL83_00026","scaffold_0",132000,134597,2598,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006586"
"27","FL83_00027","scaffold_0",149613,155498,5886,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"28","FL83_00028","scaffold_0",158281,164278,5998,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0001881"
"29","FL83_00029","scaffold_0",164534,166294,1761,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006587"
"30","FL83_00030","scaffold_0",168971,172888,3918,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0012950"
"31","FL83_00031","scaffold_0",174055,179013,4959,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0011085"
"32","FL83_00032","scaffold_0",179703,181384,1682,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"33","FL83_00033","scaffold_0",184811,189413,4603,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006588"
"34","FL83_00034","scaffold_0",191203,192528,1326,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006589"
"35","FL83_00035","scaffold_0",193689,198402,4714,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006590"
"36","FL83_00036","scaffold_0",198774,199378,605,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0011087"
"37","FL83_00037","scaffold_0",203871,204368,498,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006591"
"38","FL83_00038","scaffold_0",204697,206531,1835,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0014627"
"39","FL83_00039","scaffold_0",207016,207349,334,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006592"
"40","FL83_00040","scaffold_0",208808,210501,1694,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006593"
"41","FL83_00041","scaffold_0",213333,215401,2069,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0022903"
"42","FL83_00042","scaffold_0",218560,220456,1897,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0002435"
"43","FL83_00043","scaffold_0",222452,223100,649,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0013700"
"44","FL83_00044","scaffold_0",224446,224726,281,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"45","FL83_00045","scaffold_0",226908,227903,996,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"46","FL83_00046","scaffold_0",228877,229732,856,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0013700"
"47","FL83_00047","scaffold_0",232034,238179,6146,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0000776"
"48","FL83_00048","scaffold_0",240898,249712,8815,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0000776"
"49","FL83_00049","scaffold_0",257775,261629,3855,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"50","FL83_00050","scaffold_0",263506,264809,1304,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0007681"
"51","FL83_00051","scaffold_0",267513,273184,5672,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0003122"
"52","FL83_00052","scaffold_0",280573,281037,465,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0007679"
"53","FL83_00053","scaffold_0",283255,283536,282,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0016936"
"54","FL83_00054","scaffold_0",289278,295552,6275,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0007678"
"55","FL83_00055","scaffold_0",290066,291405,1340,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"56","FL83_00056","scaffold_0",295890,297908,2019,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0007677"
"57","FL83_00057","scaffold_0",306505,308468,1964,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"58","FL83_00058","scaffold_0",317041,318491,1451,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0001232"
"59","FL83_00059","scaffold_0",319529,320779,1251,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0007676"
"60","FL83_00060","scaffold_0",321381,322418,1038,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0007675"
"61","FL83_00061","scaffold_0",329535,329914,380,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"62","FL83_00062","scaffold_0",330633,335938,5306,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0011497"
"63","FL83_00063","scaffold_0",337242,340460,3219,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"64","FL83_00064","scaffold_0",342526,343637,1112,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0000649"
"65","FL83_00065","scaffold_0",344567,346092,1526,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"66","FL83_00066","scaffold_0",347563,348371,809,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0023055"
"67","FL83_00067","scaffold_0",349335,350276,942,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0000649"
"68","FL83_00068","scaffold_0",353313,353573,261,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"69","FL83_00069","scaffold_0",358025,362429,4405,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0003120"
"70","FL83_00070","scaffold_0",362914,364510,1597,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0007674"
"71","FL83_00071","scaffold_0",369405,370412,1008,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0007673"
"72","FL83_00072","scaffold_0",372445,373153,709,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0013109"
"73","FL83_00073","scaffold_0",374006,374507,502,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0007672"
"74","FL83_00074","scaffold_0",375916,378124,2209,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006603"
"75","FL83_00075","scaffold_0",380372,381047,676,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0012953"
"76","FL83_00076","scaffold_0",391460,392174,715,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"77","FL83_00077","scaffold_0",394523,404309,9787,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006602"
"78","FL83_00078","scaffold_0",404999,405818,820,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0011091"
"79","FL83_00079","scaffold_0",406143,408202,2060,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006601"
"80","FL83_00080","scaffold_0",411099,411345,247,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"81","FL83_00081","scaffold_0",411577,411857,281,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006600"
"82","FL83_00082","scaffold_0",414987,418782,3796,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006599"
"83","FL83_00083","scaffold_0",420152,422229,2078,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0000732"
"84","FL83_00084","scaffold_0",426499,429406,2908,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0003976"
"85","FL83_00085","scaffold_0",437652,440030,2379,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006598"
"86","FL83_00086","scaffold_0",440469,442893,2425,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0012952"
"87","FL83_00087","scaffold_0",446307,448620,2314,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0013933"
"88","FL83_00088","scaffold_0",450562,455224,4663,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0017722"
"89","FL83_00089","scaffold_0",455868,458317,2450,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0002283"
"90","FL83_00090","scaffold_0",459596,461086,1491,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0017722"
"91","FL83_00091","scaffold_0",461976,462621,646,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0023194"
"92","FL83_00092","scaffold_0",466091,469352,3262,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"93","FL83_00093","scaffold_0",473348,476465,3118,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"94","FL83_00094","scaffold_0",480146,480644,499,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"95","FL83_00095","scaffold_0",481322,481728,407,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"96","FL83_00096","scaffold_0",482069,482676,608,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"97","FL83_00097","scaffold_0",482841,483584,744,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0000812"
"98","FL83_00098","scaffold_0",483620,484325,706,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0000812"
"99","FL83_00099","scaffold_0",491634,493950,2317,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0017722"
"100","FL83_00100","scaffold_0",502371,506771,4401,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0002283"
"101","FL83_00101","scaffold_0",507642,510673,3032,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0003975"
"102","FL83_00102","scaffold_0",511810,512887,1078,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006596"
"103","FL83_00103","scaffold_0",513367,513827,461,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006596"
"104","FL83_00104","scaffold_0",514949,515356,408,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0021873"
"105","FL83_00105","scaffold_0",516677,522281,5605,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0001669"
"106","FL83_00106","scaffold_0",522715,526898,4184,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006595"
"107","FL83_00107","scaffold_0",524180,525097,918,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0011089"
"108","FL83_00108","scaffold_0",527424,529058,1635,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0000164"
"109","FL83_00109","scaffold_0",529365,534611,5247,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0011088"
"110","FL83_00110","scaffold_0",537775,539269,1495,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0017442"
"111","FL83_00111","scaffold_0",541417,544422,3006,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0006594"
"112","FL83_00112","scaffold_0",547396,547837,442,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"113","FL83_00113","scaffold_0",548151,549362,1212,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0021917"
"114","FL83_00114","scaffold_0",549959,553169,3211,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0018967"
"115","FL83_00115","scaffold_0",561363,562847,1485,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0000345"
"116","FL83_00116","scaffold_0",564740,568658,3919,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0017464"
"117","FL83_00117","scaffold_0",569445,570522,1078,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0014458"
"118","FL83_00118","scaffold_0",574695,575186,492,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0000345"
"119","FL83_00119","scaffold_0",577384,578699,1316,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0021957"
"120","FL83_00120","scaffold_0",579236,584379,5144,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0000244"
"121","FL83_00121","scaffold_0",584200,586066,1867,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"122","FL83_00122","scaffold_0",585660,591383,5724,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008654"
"123","FL83_00123","scaffold_0",598813,599734,922,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0014729"
"124","FL83_00124","scaffold_0",610872,614861,3990,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008655"
"125","FL83_00125","scaffold_0",616453,618495,2043,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008656"
"126","FL83_00126","scaffold_0",619654,621923,2270,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008657"
"127","FL83_00127","scaffold_0",624073,627559,3487,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008658"
"128","FL83_00128","scaffold_0",627768,630230,2463,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0002191"
"129","FL83_00129","scaffold_0",632496,636422,3927,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008659"
"130","FL83_00130","scaffold_0",636834,639267,2434,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0004508"
"131","FL83_00131","scaffold_0",640233,643309,3077,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0002579"
"132","FL83_00132","scaffold_0",644295,644805,511,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0013719"
"133","FL83_00133","scaffold_0",649959,650286,328,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"134","FL83_00134","scaffold_0",663740,668231,4492,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008660"
"135","FL83_00135","scaffold_0",668577,669518,942,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"136","FL83_00136","scaffold_0",671583,671861,279,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008661"
"137","FL83_00137","scaffold_0",683302,683853,552,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0016114"
"138","FL83_00138","scaffold_0",684239,684505,267,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0022109"
"139","FL83_00139","scaffold_0",688958,694190,5233,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008662"
"140","FL83_00140","scaffold_0",694732,697119,2388,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0011858"
"141","FL83_00141","scaffold_0",698123,705376,7254,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0004509"
"142","FL83_00142","scaffold_0",711810,713474,1665,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0004510"
"143","FL83_00143","scaffold_0",716474,718850,2377,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008663"
"144","FL83_00144","scaffold_0",719811,721354,1544,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008664"
"145","FL83_00145","scaffold_0",721520,724259,2740,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008665"
"146","FL83_00146","scaffold_0",724950,726572,1623,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008666"
"147","FL83_00147","scaffold_0",727519,728766,1248,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0011859"
"148","FL83_00148","scaffold_0",729749,731302,1554,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0011860"
"149","FL83_00149","scaffold_0",732749,734358,1610,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008667"
"150","FL83_00150","scaffold_0",734554,735590,1037,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008668"
"151","FL83_00151","scaffold_0",736391,737301,911,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0000088"
"152","FL83_00152","scaffold_0",742830,744779,1950,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008669"
"153","FL83_00153","scaffold_0",745094,746379,1286,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008670"
"154","FL83_00154","scaffold_0",749070,751820,2751,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008671"
"155","FL83_00155","scaffold_0",752921,753832,912,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0008672"
"156","FL83_00156","scaffold_0",758014,769009,10996,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0004511"
"157","FL83_00157","scaffold_0",769990,770997,1008,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0022208"
"158","FL83_00158","scaffold_0",772813,775658,2846,"+","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0022220"
"159","FL83_00159","scaffold_0",776064,777444,1381,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0001216"
"160","FL83_00160","scaffold_0",779632,781173,1542,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0022242"
"161","FL83_00161","scaffold_0",782125,783574,1450,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0022250"
"162","FL83_00162","scaffold_0",784741,785859,1119,"-","WormBase","gene",NA,NA,"1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,"OG0022256"
