"","X","seqnames","start","end","width","strand","source","type","score","phase","gene_id","gene_version","gene_name","gene_source","gene_biotype","transcript_id","transcript_name","transcript_source","transcript_biotype","exon_number","exon_id","protein_id","tag"
"11",11,"V",982706,996914,14209,"+","WormBase","gene",NA,NA,"WBGene00006770",1,"unc-34","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"V",1023780,1027074,3295,"-","WormBase","gene",NA,NA,"WBGene00019973",1,"R09A1.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"V",1042691,1048582,5892,"-","WormBase","gene",NA,NA,"WBGene00015344",1,"nra-4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"V",1061595,1067908,6314,"+","WormBase","gene",NA,NA,"WBGene00019624",1,"rnst-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"V",1112958,1129359,16402,"+","WormBase","gene",NA,NA,"WBGene00021740",1,"Y50D4B.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"V",1156271,1158189,1919,"+","WormBase","gene",NA,NA,"WBGene00000552",1,"cmd-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"V",1165711,1174969,9259,"+","WormBase","gene",NA,NA,"WBGene00004230",1,"ptr-16","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"V",1184876,1196127,11252,"-","WormBase","gene",NA,NA,"WBGene00021738",1,"Y50D4A.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"V",1223897,1235455,11559,"-","WormBase","gene",NA,NA,"WBGene00016539",1,"madd-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"V",1262629,1263989,1361,"-","WormBase","gene",NA,NA,"WBGene00004266",1,"rab-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"V",1289373,1299332,9960,"-","WormBase","gene",NA,NA,"WBGene00001171",1,"egl-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"V",1315643,1317919,2277,"-","WormBase","gene",NA,NA,"WBGene00044774",1,"F16B3.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"V",1352126,1356594,4469,"+","WormBase","gene",NA,NA,"WBGene00022284",1,"glb-33","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"V",1358178,1371014,12837,"-","WormBase","gene",NA,NA,"WBGene00004923",1,"snt-3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"V",1393112,1411559,18448,"-","WormBase","gene",NA,NA,"WBGene00004925",1,"snt-5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"V",1422787,1425794,3008,"-","WormBase","gene",NA,NA,"WBGene00020017",1,"R12A1.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"V",1427653,1432137,4485,"-","WormBase","gene",NA,NA,"WBGene00001578",1,"ges-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"V",1460369,1461613,1245,"+","WormBase","gene",NA,NA,"WBGene00019978",1,"hacd-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"V",1482042,1484124,2083,"+","WormBase","gene",NA,NA,"WBGene00016513",1,"C38C3.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"30",30,"V",1484828,1491610,6783,"-","WormBase","gene",NA,NA,"WBGene00016514",1,"C38C3.6","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"31",31,"V",1765311,1771734,6424,"-","WormBase","gene",NA,NA,"WBGene00000976",1,"dhs-13","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"V",1779655,1782022,2368,"-","WormBase","gene",NA,NA,"WBGene00018113",1,"F36H9.5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"33",33,"V",1815851,1821323,5473,"-","WormBase","gene",NA,NA,"WBGene00001632",1,"gly-7","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"34",34,"V",1821579,1823096,1518,"+","WormBase","gene",NA,NA,"WBGene00044344",1,"mrpl-39","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"V",1823074,1830073,7000,"-","WormBase","gene",NA,NA,"WBGene00021309",1,"Y32G9B.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"36",36,"V",1870420,1871807,1388,"-","WormBase","gene",NA,NA,"WBGene00020390",1,"T10B5.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"37",37,"V",1872246,1875505,3260,"+","WormBase","gene",NA,NA,"WBGene00020391",1,"cct-7","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"38",38,"V",1875478,1892939,17462,"-","WormBase","gene",NA,NA,"WBGene00021305",1,"zig-11","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"39",39,"V",1982613,1987045,4433,"-","WormBase","gene",NA,NA,"WBGene00020340",1,"T08B1.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"40",41,"V",2069138,2072907,3770,"-","WormBase","gene",NA,NA,"WBGene00021493",1,"Y40B10A.9","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"41",42,"V",2131473,2140042,8570,"-","WormBase","gene",NA,NA,"WBGene00017724",1,"F22F7.7","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"42",43,"V",2582867,2585908,3042,"-","WormBase","gene",NA,NA,"WBGene00016234",1,"C29G2.6","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"43",44,"V",2602153,2603063,911,"-","WormBase","gene",NA,NA,"WBGene00018762",1,"F53E10.6","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"44",45,"V",2608652,2615262,6611,"+","WormBase","gene",NA,NA,"WBGene00000056",1,"acr-17","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"45",46,"V",2639335,2646594,7260,"+","WormBase","gene",NA,NA,"WBGene00020957",1,"W02H5.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"46",47,"V",2647055,2652657,5603,"-","WormBase","gene",NA,NA,"WBGene00020962",1,"W02H5.8","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"47",48,"V",2666900,2670226,3327,"+","WormBase","gene",NA,NA,"WBGene00020954",1,"W02G9.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"48",49,"V",2688455,2696254,7800,"-","WormBase","gene",NA,NA,"WBGene00021564",1,"Y45G12B.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"49",50,"V",2694771,2698867,4097,"+","WormBase","gene",NA,NA,"WBGene00021563",1,"Y45G12B.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"50",51,"V",2698972,2706984,8013,"+","WormBase","gene",NA,NA,"WBGene00021562",1,"nuo-5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"51",52,"V",2706966,2711599,4634,"-","WormBase","gene",NA,NA,"WBGene00016048",1,"C24B9.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"52",53,"V",2905767,2909625,3859,"-","WormBase","gene",NA,NA,"WBGene00016283",1,"zmp-3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"53",54,"V",3441504,3444877,3374,"-","WormBase","gene",NA,NA,"WBGene00000478",1,"cfz-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"54",55,"V",3586639,3589012,2374,"+","WormBase","gene",NA,NA,"WBGene00020695",1,"T22F3.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"55",56,"V",3589008,3592199,3192,"-","WormBase","gene",NA,NA,"WBGene00044705",1,"T22F3.12","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"56",57,"V",3633341,3634678,1338,"+","WormBase","gene",NA,NA,"WBGene00019097",1,"F59B1.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"57",58,"V",3651656,3659572,7917,"-","WormBase","gene",NA,NA,"WBGene00000062",1,"acr-23","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"58",59,"V",3682853,3686474,3622,"+","WormBase","gene",NA,NA,"WBGene00021080",1,"W08A12.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"59",60,"V",3704988,3712796,7809,"+","WormBase","gene",NA,NA,"WBGene00003025",1,"lin-40","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"60",61,"V",3712779,3715969,3191,"-","WormBase","gene",NA,NA,"WBGene00020854",1,"T27C4.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"61",62,"V",3727253,3739402,12150,"-","WormBase","gene",NA,NA,"WBGene00020855",1,"hpo-36","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"62",63,"V",3777297,3784217,6921,"-","WormBase","gene",NA,NA,"WBGene00019965",1,"R08F11.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"63",64,"V",4147550,4152300,4751,"-","WormBase","gene",NA,NA,"WBGene00021558",1,"Y45G5AM.6","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"64",65,"V",4199485,4203696,4212,"+","WormBase","gene",NA,NA,"WBGene00019275",1,"rpac-40","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"65",66,"V",4338883,4341308,2426,"-","WormBase","gene",NA,NA,"WBGene00017062",1,"glrx-3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"66",67,"V",4341431,4345999,4569,"-","WormBase","gene",NA,NA,"WBGene00017981",1,"figl-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"67",68,"V",4362668,4364617,1950,"-","WormBase","gene",NA,NA,"WBGene00001722",1,"grl-13","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"68",69,"V",4365447,4366540,1094,"-","WormBase","gene",NA,NA,"WBGene00044530",1,"F32D1.11","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"69",70,"V",4412748,4414663,1916,"-","WormBase","gene",NA,NA,"WBGene00001714",1,"grl-5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"70",71,"V",4443303,4450563,7261,"-","WormBase","gene",NA,NA,"WBGene00021626",1,"rft-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"71",72,"V",4451047,4454734,3688,"-","WormBase","gene",NA,NA,"WBGene00019224",1,"gnrr-5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"72",73,"V",4483459,4486543,3085,"+","WormBase","gene",NA,NA,"WBGene00020369",1,"exc-15","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"73",74,"V",4562020,4570049,8030,"-","WormBase","gene",NA,NA,"WBGene00022019",1,"sut-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"74",75,"V",4585309,4602025,16717,"+","WormBase","gene",NA,NA,"WBGene00022014",1,"Y61A9LA.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"75",76,"V",4628580,4635263,6684,"+","WormBase","gene",NA,NA,"WBGene00018811",1,"pmt-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"76",77,"V",4681970,4685112,3143,"+","WormBase","gene",NA,NA,"WBGene00019355",1,"K03B4.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"77",78,"V",4687103,4687899,797,"+","WormBase","gene",NA,NA,"WBGene00006392",1,"taf-10","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"78",79,"V",4715388,4720093,4706,"-","WormBase","gene",NA,NA,"WBGene00004195",1,"prx-6","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"79",80,"V",4726721,4730161,3441,"-","WormBase","gene",NA,NA,"WBGene00006570",1,"tig-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"80",81,"V",4777960,4780032,2073,"+","WormBase","gene",NA,NA,"WBGene00015980",1,"C18G1.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"81",82,"V",4794599,4797112,2514,"+","WormBase","gene",NA,NA,"WBGene00019840",1,"R02F11.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"82",83,"V",4801094,4802681,1588,"+","WormBase","gene",NA,NA,"WBGene00019839",1,"R02F11.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"83",84,"V",4802633,4805947,3315,"-","WormBase","gene",NA,NA,"WBGene00019841",1,"R02F11.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"84",85,"V",4818763,4823423,4661,"-","WormBase","gene",NA,NA,"WBGene00016509",1,"adss-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"85",86,"V",4824124,4826760,2637,"-","WormBase","gene",NA,NA,"WBGene00002010",1,"hsp-6","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"86",87,"V",4827360,4836019,8660,"+","WormBase","gene",NA,NA,"WBGene00016508",1,"C37H5.5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"87",88,"V",4851438,4857293,5856,"+","WormBase","gene",NA,NA,"WBGene00003591",1,"nex-4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"88",89,"V",4865664,4870392,4729,"+","WormBase","gene",NA,NA,"WBGene00005110",1,"srd-32","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"89",90,"V",4874233,4877687,3455,"-","WormBase","gene",NA,NA,"WBGene00020590",1,"T19H12.6","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"90",91,"V",4911712,4912381,670,"-","WormBase","gene",NA,NA,"WBGene00019236",1,"H23N18.5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"91",92,"V",5042376,5046203,3828,"-","WormBase","gene",NA,NA,"WBGene00019649",1,"exc-14","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"92",93,"V",5049607,5052214,2608,"+","WormBase","gene",NA,NA,"WBGene00004136",1,"pqn-51","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"93",94,"V",5067637,5069540,1904,"-","WormBase","gene",NA,NA,"WBGene00021975",1,"Y58A7A.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"94",95,"V",5087493,5089547,2055,"-","WormBase","gene",NA,NA,"WBGene00021980",1,"glb-32","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"95",96,"V",5127093,5130076,2984,"+","WormBase","gene",NA,NA,"WBGene00017468",1,"F14F9.5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"96",97,"V",5195241,5198340,3100,"-","WormBase","gene",NA,NA,"WBGene00021614",1,"Y47A7.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"97",98,"V",5204475,5213468,8994,"+","WormBase","gene",NA,NA,"WBGene00021613",1,"ttc-37","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"98",99,"V",5223367,5230490,7124,"+","WormBase","gene",NA,NA,"WBGene00021732",1,"Y49G5B.1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"99",100,"V",5274070,5275615,1546,"+","WormBase","gene",NA,NA,"WBGene00015074",1,"natc-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"100",101,"V",5275554,5278101,2548,"-","WormBase","gene",NA,NA,"WBGene00015073",1,"B0238.9","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"101",102,"V",5323194,5324666,1473,"-","WormBase","gene",NA,NA,"WBGene00000454",1,"ceh-33","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"102",103,"V",5324806,5328414,3609,"-","WormBase","gene",NA,NA,"WBGene00015684",1,"C10G8.8","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"103",104,"V",5386299,5389449,3151,"+","WormBase","gene",NA,NA,"WBGene00016429",1,"C35A11.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"104",105,"V",5410955,5413001,2047,"+","WormBase","gene",NA,NA,"WBGene00017262",1,"F08F3.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"105",106,"V",5428160,5430431,2272,"+","WormBase","gene",NA,NA,"WBGene00004358",1,"rhr-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"106",107,"V",5503033,5504857,1825,"-","WormBase","gene",NA,NA,"WBGene00001037",1,"dnj-19","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"107",108,"V",5505253,5509956,4704,"+","WormBase","gene",NA,NA,"WBGene00003637",1,"nhr-47","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"108",109,"V",5509930,5513830,3901,"-","WormBase","gene",NA,NA,"WBGene00016061",1,"hpo-15","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"109",110,"V",5538800,5545789,6990,"+","WormBase","gene",NA,NA,"WBGene00000477",1,"cft-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"110",111,"V",5545669,5548062,2394,"-","WormBase","gene",NA,NA,"WBGene00015965",1,"ugt-48","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"111",112,"V",5593706,5594503,798,"+","WormBase","gene",NA,NA,"WBGene00016989",1,"mrpl-48","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"112",113,"V",5594615,5595842,1228,"+","WormBase","gene",NA,NA,"WBGene00000795",1,"crn-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"113",114,"V",5595653,5596551,899,"-","WormBase","gene",NA,NA,"WBGene00016992",1,"zhit-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"114",115,"V",5624727,5630892,6166,"-","WormBase","gene",NA,NA,"WBGene00000071",1,"acy-4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"115",116,"V",5647610,5651040,3431,"+","WormBase","gene",NA,NA,"WBGene00015768",1,"C14C11.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"116",117,"V",5654449,5658699,4251,"+","WormBase","gene",NA,NA,"WBGene00015767",1,"hex-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"117",118,"V",5669604,5676111,6508,"-","WormBase","gene",NA,NA,"WBGene00004104",1,"pqn-13","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"118",119,"V",5678598,5682630,4033,"-","WormBase","gene",NA,NA,"WBGene00017768",1,"F25B4.5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"119",120,"V",5684873,5685733,861,"+","WormBase","gene",NA,NA,"WBGene00017767",1,"F25B4.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"120",121,"V",5685732,5687226,1495,"-","WormBase","gene",NA,NA,"WBGene00017770",1,"F25B4.7","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"121",122,"V",5700154,5701080,927,"+","WormBase","gene",NA,NA,"WBGene00017772",1,"clec-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"122",123,"V",5705810,5712336,6527,"+","WormBase","gene",NA,NA,"WBGene00017766",1,"peli-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"123",124,"V",5734619,5736168,1550,"-","WormBase","gene",NA,NA,"WBGene00019603",1,"K09H11.6","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"124",125,"V",5747819,5752033,4215,"+","WormBase","gene",NA,NA,"WBGene00019599",1,"acds-10","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"125",126,"V",5785957,5790553,4597,"-","WormBase","gene",NA,NA,"WBGene00018430",1,"nhr-142","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"126",127,"V",5792331,5794857,2527,"+","WormBase","gene",NA,NA,"WBGene00022576",1,"ZC250.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"127",128,"V",5799673,5805666,5994,"+","WormBase","gene",NA,NA,"WBGene00000893",1,"cyn-17","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"128",129,"V",5838955,5845719,6765,"-","WormBase","gene",NA,NA,"WBGene00017834",1,"F26F12.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"129",130,"V",5863962,5865185,1224,"-","WormBase","gene",NA,NA,"WBGene00017836",1,"F26F12.5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"130",131,"V",5866134,5869327,3194,"-","WormBase","gene",NA,NA,"WBGene00017835",1,"F26F12.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"131",132,"V",5880364,5882509,2146,"+","WormBase","gene",NA,NA,"WBGene00044803",1,"C02G6.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"132",133,"V",5893315,5895203,1889,"+","WormBase","gene",NA,NA,"WBGene00015423",1,"C04E6.7","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"133",134,"V",5914093,5917891,3799,"-","WormBase","gene",NA,NA,"WBGene00015425",1,"C04E6.11","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"134",135,"V",5930905,5933435,2531,"+","WormBase","gene",NA,NA,"WBGene00019763",1,"galt-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"135",136,"V",5933375,5936791,3417,"-","WormBase","gene",NA,NA,"WBGene00019764",1,"M03F8.5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"136",137,"V",5940022,5943366,3345,"+","WormBase","gene",NA,NA,"WBGene00019762",1,"M03F8.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"137",138,"V",5943467,5951417,7951,"+","WormBase","gene",NA,NA,"WBGene00004206",1,"pst-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"138",139,"V",5960200,5963882,3683,"-","WormBase","gene",NA,NA,"WBGene00003954",1,"pcm-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"139",140,"V",5961807,5969175,7369,"+","WormBase","gene",NA,NA,"WBGene00015678",1,"mcp-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"140",141,"V",5976024,5981478,5455,"+","WormBase","gene",NA,NA,"WBGene00000069",1,"acy-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"141",142,"V",5985436,5986855,1420,"-","WormBase","gene",NA,NA,"WBGene00015679",1,"C10F3.7","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"142",143,"V",5986990,5990483,3494,"-","WormBase","gene",NA,NA,"WBGene00001508",1,"fut-8","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"143",144,"V",6016059,6017669,1611,"-","WormBase","gene",NA,NA,"WBGene00004502",1,"rpt-2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"144",145,"V",6017970,6018886,917,"+","WormBase","gene",NA,NA,"WBGene00000159",1,"aps-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"145",146,"V",6026329,6034814,8486,"-","WormBase","gene",NA,NA,"WBGene00000980",1,"dhs-17","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"146",147,"V",6057366,6063430,6065,"-","WormBase","gene",NA,NA,"WBGene00021389",1,"Y38A10A.2","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"147",148,"V",6208885,6217664,8780,"+","WormBase","gene",NA,NA,"WBGene00004373",1,"rme-1","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"148",149,"V",6235176,6237734,2559,"+","WormBase","gene",NA,NA,"WBGene00019522",1,"K08B12.3","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"149",150,"V",6246931,6252458,5528,"+","WormBase","gene",NA,NA,"WBGene00019521",1,"dmd-7","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"150",151,"V",6280293,6281275,983,"-","WormBase","gene",NA,NA,"WBGene00019669",1,"K12B6.4","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"151",152,"V",6281359,6284895,3537,"+","WormBase","gene",NA,NA,"WBGene00019667",1,"spe-49","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"152",153,"V",6334014,6336119,2106,"-","WormBase","gene",NA,NA,"WBGene00020893",1,"T28C12.6","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"153",154,"V",6372101,6374944,2844,"-","WormBase","gene",NA,NA,"WBGene00017433",1,"F13H6.5","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
"154",155,"V",6414993,6417501,2509,"+","WormBase","gene",NA,NA,"WBGene00020270",1,"T05H4.7","WormBase","protein_coding",NA,NA,NA,NA,NA,NA,NA,NA
