,seq_id,seqnames,type,start,end,width,strand,gene_id,gene_biotype,Orthogroup
52,elegans_III,III,gene,774321,778871,4551,-,WBGene00000117,protein_coding,OG0005753
53,elegans_IV,IV,gene,12123282,12124809,1528,+,WBGene00000122,protein_coding,OG0009901
54,elegans_II,II,gene,8363172,8369159,5988,-,WBGene00000135,protein_coding,OG0007913
55,elegans_III,III,gene,4593863,4594424,562,-,WBGene00000145,protein_coding,OG0006117
56,elegans_V,V,gene,11675938,11685274,9337,+,WBGene00000146,protein_coding,OG0009861
57,elegans_I,I,gene,14406028,14417934,11907,+,WBGene00000158,protein_coding,OG0005891
58,elegans_V,V,gene,6017970,6018886,917,+,WBGene00000159,protein_coding,OG0007017
59,elegans_I,I,gene,1154514,1156020,1507,-,WBGene00000165,protein_coding,OG0006683
60,elegans_X,X,gene,11068527,11072047,3521,+,WBGene00000166,protein_coding,OG0006510
61,elegans_II,II,gene,7235828,7238349,2522,-,WBGene00000169,protein_coding,OG0010223
62,elegans_V,V,gene,9737556,9739740,2185,+,WBGene00000172,protein_coding,OG0007187
63,elegans_V,V,gene,10648446,10651997,3552,+,WBGene00000174,protein_coding,OG0006967
64,elegans_X,X,gene,3025063,3026974,1912,+,WBGene00000175,protein_coding,OG0006386
65,elegans_I,I,gene,9605896,9609047,3152,+,WBGene00000177,protein_coding,OG0005909
66,elegans_II,II,gene,9768458,9769847,1390,-,WBGene00000178,protein_coding,OG0010124
67,elegans_III,III,gene,13673280,13674739,1460,+,WBGene00000179,protein_coding,OG0008883
68,elegans_II,II,gene,9674978,9677210,2233,+,WBGene00000180,protein_coding,OG0010133
69,elegans_IV,IV,gene,11131279,11133805,2527,+,WBGene00000181,protein_coding,OG0005948
70,elegans_III,III,gene,5714886,5717586,2701,+,WBGene00000182,protein_coding,OG0006171
71,elegans_II,II,gene,8582000,8583080,1081,+,WBGene00000187,protein_coding,OG0007940
72,elegans_III,III,gene,9823242,9824132,891,+,WBGene00000189,protein_coding,OG0006749
73,elegans_IV,IV,gene,14798149,14799227,1079,+,WBGene00000192,protein_coding,OG0008841
74,elegans_X,X,gene,950782,954233,3452,+,WBGene00000195,protein_coding,OG0009394
75,elegans_II,II,gene,11460205,11464497,4293,-,WBGene00000196,protein_coding,OG0005687
76,elegans_I,I,gene,3983183,3986581,3399,+,WBGene00000197,protein_coding,OG0007445
77,elegans_I,I,gene,2883549,2893718,10170,-,WBGene00000199,protein_coding,OG0008437
78,elegans_V,V,gene,10335463,10338355,2893,-,WBGene00000200,protein_coding,OG0007075
79,elegans_III,III,gene,12052424,12058458,6035,-,WBGene00000201,protein_coding,OG0006143
80,elegans_III,III,gene,4878658,4879643,986,+,WBGene00000204,protein_coding,OG0005528
81,elegans_I,I,gene,3069325,3070150,826,-,WBGene00000205,protein_coding,OG0006862
82,elegans_II,II,gene,6910072,6912659,2588,+,WBGene00000211,protein_coding,OG0006875
83,elegans_X,X,gene,11321079,11324251,3173,-,WBGene00000212,protein_coding,OG0006486
84,elegans_IV,IV,gene,520214,523809,3596,-,WBGene00000213,protein_coding,OG0009664
85,elegans_V,V,gene,9203077,9204734,1658,+,WBGene00000215,protein_coding,OG0007105
86,elegans_X,X,gene,6791064,6792709,1646,+,WBGene00000216,protein_coding,OG0008616
87,elegans_II,II,gene,8751986,8753940,1955,+,WBGene00000220,protein_coding,OG0007634
88,elegans_X,X,gene,12480948,12484904,3957,+,WBGene00000222,protein_coding,OG0009020
89,elegans_III,III,gene,4491627,4499045,7419,-,WBGene00000223,protein_coding,OG0006728
90,elegans_IV,IV,gene,17269342,17272181,2840,+,WBGene00000224,protein_coding,OG0008989
91,elegans_II,II,gene,14640098,14644083,3986,-,WBGene00000225,protein_coding,OG0007532
92,elegans_I,I,gene,5428533,5429908,1376,-,WBGene00000230,protein_coding,OG0009540
93,elegans_III,III,gene,9467464,9468058,595,+,WBGene00000235,protein_coding,OG0008780
94,elegans_I,I,gene,6563629,6564451,823,-,WBGene00000236,protein_coding,OG0010034
95,elegans_I,I,gene,2949601,2957910,8310,-,WBGene00000237,protein_coding,OG0006900
96,elegans_X,X,gene,7166005,7170625,4621,-,WBGene00000238,protein_coding,OG0008641
97,elegans_II,II,gene,8762622,8766997,4376,-,WBGene00000240,protein_coding,OG0007626
98,elegans_IV,IV,gene,7934033,7937749,3717,+,WBGene00000242,protein_coding,OG0009702
99,elegans_V,V,gene,6762467,6765072,2606,-,WBGene00000244,protein_coding,OG0009237
100,elegans_X,X,gene,6201875,6204746,2872,-,WBGene00000245,protein_coding,OG0008576
101,elegans_IV,IV,gene,11086074,11092552,6479,-,WBGene00000246,protein_coding,OG0008462
102,elegans_IV,IV,gene,5661141,5664425,3285,-,WBGene00000247,protein_coding,OG0006673
103,elegans_II,II,gene,10708960,10712156,3197,+,WBGene00000251,protein_coding,OG0010174
104,elegans_I,I,gene,6342224,6356680,14457,+,WBGene00000254,protein_coding,OG0010044
105,elegans_III,III,gene,909957,910590,634,-,WBGene00000263,protein_coding,OG0008143
106,elegans_III,III,gene,9469900,9485473,15574,-,WBGene00000268,protein_coding,OG0008779
107,elegans_IV,IV,gene,12049850,12051215,1366,-,WBGene00000270,protein_coding,OG0009890
108,elegans_II,II,gene,7305858,7308792,2935,+,WBGene00000271,protein_coding,OG0010219
109,elegans_II,II,gene,13200165,13215706,15542,+,WBGene00000274,protein_coding,OG0005658
110,elegans_III,III,gene,6932001,6935862,3862,+,WBGene00000276,protein_coding,OG0008757
111,elegans_X,X,gene,12199655,12212901,13247,-,WBGene00000277,protein_coding,OG0009359
112,elegans_III,III,gene,5083206,5085629,2424,-,WBGene00000279,protein_coding,OG0006108
113,elegans_II,II,gene,7480751,7483109,2359,-,WBGene00000280,protein_coding,OG0010205
114,elegans_X,X,gene,16487481,16489397,1917,+,WBGene00000281,protein_coding,OG0009072
115,elegans_X,X,gene,13542574,13544599,2026,+,WBGene00000282,protein_coding,OG0009176
116,elegans_I,I,gene,3628246,3631112,2867,+,WBGene00000284,protein_coding,OG0007255
117,elegans_V,V,gene,12514835,12517248,2414,-,WBGene00000285,protein_coding,OG0007238
118,elegans_IV,IV,gene,3829493,3835165,5673,-,WBGene00000287,protein_coding,OG0009805
119,elegans_II,II,gene,9295915,9310304,14390,-,WBGene00000289,protein_coding,OG0007962
120,elegans_IV,IV,gene,7228422,7230223,1802,-,WBGene00000292,protein_coding,OG0008062
121,elegans_II,II,gene,10869196,10870827,1632,+,WBGene00000293,protein_coding,OG0010162
122,elegans_X,X,gene,16807455,16813656,6202,-,WBGene00000294,protein_coding,OG0009352
123,elegans_X,X,gene,5705690,5710737,5048,-,WBGene00000295,protein_coding,OG0008535
124,elegans_II,II,gene,257819,261074,3256,+,WBGene00000296,protein_coding,OG0006924
125,elegans_V,V,gene,10564880,10566464,1585,+,WBGene00000298,protein_coding,OG0007066
126,elegans_IV,IV,gene,9772510,9773559,1050,+,WBGene00000301,protein_coding,OG0008037
127,elegans_III,III,gene,9766509,9774825,8317,+,WBGene00000366,protein_coding,OG0006759
128,elegans_X,X,gene,7847678,7875954,28277,-,WBGene00000367,protein_coding,OG0006602
129,elegans_IV,IV,gene,15270160,15275804,5645,-,WBGene00000370,protein_coding,OG0008146
130,elegans_IV,IV,gene,12361542,12371852,10311,+,WBGene00000376,protein_coding,OG0009924
131,elegans_II,II,gene,8185443,8187601,2159,+,WBGene00000377,protein_coding,OG0009429
132,elegans_II,II,gene,8927741,8929815,2075,+,WBGene00000378,protein_coding,OG0007611
133,elegans_III,III,gene,4499188,4508114,8927,-,WBGene00000380,protein_coding,OG0006729
134,elegans_III,III,gene,5853530,5855687,2158,-,WBGene00000381,protein_coding,OG0006167
135,elegans_II,II,gene,10188258,10189469,1212,-,WBGene00000389,protein_coding,OG0005765
136,elegans_II,II,gene,7616452,7618245,1794,+,WBGene00000390,protein_coding,OG0010189
137,elegans_X,X,gene,6499916,6505143,5228,-,WBGene00000393,protein_coding,OG0008594
138,elegans_X,X,gene,16595238,16602232,6995,+,WBGene00000401,protein_coding,OG0009067
139,elegans_III,III,gene,9747472,9748852,1381,+,WBGene00000405,protein_coding,OG0006762
140,elegans_III,III,gene,13464687,13466342,1656,-,WBGene00000407,protein_coding,OG0006152
141,elegans_I,I,gene,2281503,2291205,9703,-,WBGene00000408,protein_coding,OG0005903
142,elegans_II,II,gene,10785452,10787272,1821,+,WBGene00000411,protein_coding,OG0010168
143,elegans_I,I,gene,3223160,3228104,4945,-,WBGene00000413,protein_coding,OG0007042
144,elegans_IV,IV,gene,1597318,1601621,4304,+,WBGene00000416,protein_coding,OG0006662
145,elegans_IV,IV,gene,13198261,13204137,5877,-,WBGene00000417,protein_coding,OG0009573
146,elegans_III,III,gene,4852325,4855171,2847,+,WBGene00000418,protein_coding,OG0005536
147,elegans_IV,IV,gene,10484110,10492913,8804,+,WBGene00000419,protein_coding,OG0009777
148,elegans_III,III,gene,5595771,5598061,2291,+,WBGene00000420,protein_coding,OG0006183
149,elegans_III,III,gene,10335172,10337522,2351,+,WBGene00000423,protein_coding,OG0006220
150,elegans_I,I,gene,10222881,10227009,4129,-,WBGene00000426,protein_coding,OG0007849
151,elegans_X,X,gene,4653167,4654157,991,-,WBGene00000428,protein_coding,OG0006320
152,elegans_I,I,gene,6046788,6050451,3664,-,WBGene00000429,protein_coding,OG0006686
153,elegans_I,I,gene,9727169,9728034,866,+,WBGene00000430,protein_coding,OG0005920
154,elegans_I,I,gene,8498112,8502604,4493,-,WBGene00000431,protein_coding,OG0008179
155,elegans_I,I,gene,5840282,5841940,1659,+,WBGene00000436,protein_coding,OG0005416
156,elegans_III,III,gene,7555660,7558041,2382,+,WBGene00000437,protein_coding,OG0008085
157,elegans_X,X,gene,7527769,7532732,4964,-,WBGene00000438,protein_coding,OG0008671
158,elegans_III,III,gene,8622735,8626314,3580,+,WBGene00000439,protein_coding,OG0008878
159,elegans_X,X,gene,3843367,3857797,14431,-,WBGene00000441,protein_coding,OG0009054
160,elegans_III,III,gene,6979884,6981785,1902,+,WBGene00000443,protein_coding,OG0009420
161,elegans_V,V,gene,10671918,10675769,3852,+,WBGene00000445,protein_coding,OG0006956
162,elegans_V,V,gene,13813231,13815350,2120,+,WBGene00000447,protein_coding,OG0007085
163,elegans_III,III,gene,8067289,8071463,4175,+,WBGene00000448,protein_coding,OG0006705
164,elegans_V,V,gene,11661549,11665102,3554,-,WBGene00000449,protein_coding,OG0009822
165,elegans_X,X,gene,3063574,3065551,1978,+,WBGene00000451,protein_coding,OG0006383
166,elegans_X,X,gene,3068648,3070422,1775,-,WBGene00000452,protein_coding,OG0006382
167,elegans_V,V,gene,11701764,11705400,3637,-,WBGene00000453,protein_coding,OG0009878
168,elegans_V,V,gene,5323194,5324666,1473,-,WBGene00000454,protein_coding,OG0007295
169,elegans_III,III,gene,2530613,2546420,15808,+,WBGene00000464,protein_coding,OG0008373
170,elegans_I,I,gene,8324286,8328859,4574,+,WBGene00000467,protein_coding,OG0005441
171,elegans_I,I,gene,14961497,14965361,3865,+,WBGene00000469,protein_coding,OG0007827
172,elegans_III,III,gene,10866946,10868703,1758,-,WBGene00000475,protein_coding,OG0008181
173,elegans_I,I,gene,9993906,9999928,6023,-,WBGene00000476,protein_coding,OG0005931
174,elegans_V,V,gene,5538800,5545789,6990,+,WBGene00000477,protein_coding,OG0006029
175,elegans_V,V,gene,3441504,3444877,3374,-,WBGene00000478,protein_coding,OG0005102
176,elegans_I,I,gene,6517529,6520918,3390,-,WBGene00000483,protein_coding,OG0009516
177,elegans_X,X,gene,481450,486504,5055,+,WBGene00000484,protein_coding,OG0007723
178,elegans_V,V,gene,7961210,7969207,7998,-,WBGene00000488,protein_coding,OG0009167
179,elegans_I,I,gene,10506998,10515586,8589,-,WBGene00000492,protein_coding,OG0010311
180,elegans_I,I,gene,5746633,5754306,7674,+,WBGene00000493,protein_coding,OG0005557
181,elegans_II,II,gene,196985,211941,14957,+,WBGene00000497,protein_coding,OG0006699
182,elegans_I,I,gene,6181314,6183856,2543,-,WBGene00000500,protein_coding,OG0007530
183,elegans_IV,IV,gene,13209730,13214566,4837,-,WBGene00000501,protein_coding,OG0009571
184,elegans_X,X,gene,4286124,4291496,5373,+,WBGene00000510,protein_coding,OG0006296
185,elegans_X,X,gene,3576606,3578830,2225,+,WBGene00000515,protein_coding,OG0008969
186,elegans_II,II,gene,7811240,7812105,866,+,WBGene00000516,protein_coding,OG0007573
187,elegans_III,III,gene,5635479,5654564,19086,+,WBGene00000518,protein_coding,OG0006178
188,elegans_X,X,gene,7431465,7433535,2071,+,WBGene00000523,protein_coding,OG0008681
189,elegans_X,X,gene,3373236,3374742,1507,-,WBGene00000524,protein_coding,OG0008486
190,elegans_X,X,gene,7433569,7435736,2168,+,WBGene00000526,protein_coding,OG0008680
191,elegans_II,II,gene,11846508,11854745,8238,-,WBGene00000528,protein_coding,OG0005846
192,elegans_II,II,gene,11351899,11370316,18418,+,WBGene00000529,protein_coding,OG0007982
193,elegans_II,II,gene,7217943,7225914,7972,-,WBGene00000530,protein_coding,OG0010225
194,elegans_X,X,gene,4094867,4100573,5707,-,WBGene00000531,protein_coding,OG0009115
195,elegans_II,II,gene,9094710,9098605,3896,-,WBGene00000532,protein_coding,OG0007588
196,elegans_V,V,gene,12060234,12063368,3135,-,WBGene00000533,protein_coding,OG0010061
197,elegans_III,III,gene,4700325,4704025,3701,-,WBGene00000543,protein_coding,OG0008386
198,elegans_III,III,gene,9516631,9521460,4830,-,WBGene00000550,protein_coding,OG0008773
199,elegans_V,V,gene,1156271,1158189,1919,+,WBGene00000552,protein_coding,OG0010075
200,elegans_IV,IV,gene,1824481,1834247,9767,+,WBGene00000553,protein_coding,OG0009864
201,elegans_V,V,gene,11375742,11378006,2265,+,WBGene00000554,protein_coding,OG0005132
202,elegans_V,V,gene,15025731,15031473,5743,-,WBGene00000562,protein_coding,OG0007013
203,elegans_IV,IV,gene,9477522,9481037,3516,-,WBGene00000563,protein_coding,OG0009942
204,elegans_III,III,gene,10271257,10278579,7323,+,WBGene00000564,protein_coding,OG0006215
205,elegans_III,III,gene,10655018,10677523,22506,+,WBGene00000566,protein_coding,OG0006245
206,elegans_III,III,gene,9814364,9817137,2774,-,WBGene00000567,protein_coding,OG0006750
207,elegans_II,II,gene,14902493,14907533,5041,+,WBGene00000584,protein_coding,OG0010341
208,elegans_X,X,gene,7465193,7475018,9826,-,WBGene00000591,protein_coding,OG0008676
209,elegans_I,I,gene,115687,117498,1812,+,WBGene00000622,protein_coding,OG0008727
210,elegans_I,I,gene,741878,747213,5336,-,WBGene00000623,protein_coding,OG0005337
211,elegans_I,I,gene,3137185,3138447,1263,+,WBGene00000626,protein_coding,OG0006825
212,elegans_I,I,gene,5842709,5844050,1342,+,WBGene00000631,protein_coding,OG0005415
213,elegans_I,I,gene,7105302,7106926,1625,+,WBGene00000636,protein_coding,OG0005264
214,elegans_II,II,gene,11012397,11013767,1371,-,WBGene00000657,protein_coding,OG0010159
215,elegans_II,II,gene,13096009,13098275,2267,-,WBGene00000661,protein_coding,OG0005695
216,elegans_III,III,gene,41063,41971,909,+,WBGene00000663,protein_coding,OG0008117
217,elegans_IV,IV,gene,604444,605931,1488,+,WBGene00000676,protein_coding,OG0009856
218,elegans_IV,IV,gene,1353636,1355305,1670,-,WBGene00000678,protein_coding,OG0009846
219,elegans_IV,IV,gene,4655791,4657974,2184,-,WBGene00000685,protein_coding,OG0009626
220,elegans_IV,IV,gene,7150663,7152509,1847,-,WBGene00000687,protein_coding,OG0007487
221,elegans_IV,IV,gene,7988685,7991428,2744,+,WBGene00000689,protein_coding,OG0009697
222,elegans_IV,IV,gene,8848218,8849673,1456,+,WBGene00000692,protein_coding,OG0009824
223,elegans_IV,IV,gene,13065729,13067300,1572,-,WBGene00000705,protein_coding,OG0005565
224,elegans_IV,IV,gene,17182884,17183729,846,-,WBGene00000711,protein_coding,OG0008990
225,elegans_X,X,gene,4353618,4354852,1235,+,WBGene00000738,protein_coding,OG0006299
226,elegans_X,X,gene,6672819,6674423,1605,+,WBGene00000745,protein_coding,OG0008608
227,elegans_X,X,gene,10999663,11001850,2188,-,WBGene00000750,protein_coding,OG0006519
228,elegans_X,X,gene,13469455,13470409,955,+,WBGene00000757,protein_coding,OG0009181
229,elegans_I,I,gene,5412841,5415629,2789,-,WBGene00000761,protein_coding,OG0009517
230,elegans_IV,IV,gene,14793104,14796324,3221,-,WBGene00000763,protein_coding,OG0008839
231,elegans_V,V,gene,9336762,9338858,2097,+,WBGene00000766,protein_coding,OG0007102
232,elegans_III,III,gene,4863427,4866948,3522,+,WBGene00000767,protein_coding,OG0005539
233,elegans_III,III,gene,9322310,9324913,2604,+,WBGene00000770,protein_coding,OG0010099
234,elegans_II,II,gene,6192784,6195170,2387,+,WBGene00000771,protein_coding,OG0005716
235,elegans_II,II,gene,8600449,8602440,1992,-,WBGene00000773,protein_coding,OG0007943
236,elegans_IV,IV,gene,9450675,9453409,2735,+,WBGene00000775,protein_coding,OG0009946
237,elegans_V,V,gene,16592572,16595346,2775,-,WBGene00000776,protein_coding,OG0007326
238,elegans_I,I,gene,8636123,8637943,1821,-,WBGene00000777,protein_coding,OG0008236
239,elegans_II,II,gene,337782,339250,1469,+,WBGene00000778,protein_coding,OG0006916
240,elegans_I,I,gene,3987940,3988699,760,+,WBGene00000779,protein_coding,OG0007444
241,elegans_I,I,gene,10924240,10925750,1511,-,WBGene00000780,protein_coding,OG0008245
242,elegans_V,V,gene,6614674,6615851,1178,+,WBGene00000784,protein_coding,OG0009204
243,elegans_X,X,gene,6607207,6609045,1839,+,WBGene00000786,protein_coding,OG0008602
244,elegans_V,V,gene,13381189,13383077,1889,+,WBGene00000789,protein_coding,OG0007283
245,elegans_X,X,gene,17402532,17414014,11483,-,WBGene00000792,protein_coding,OG0010281
246,elegans_V,V,gene,5594615,5595842,1228,+,WBGene00000795,protein_coding,OG0006032
247,elegans_III,III,gene,9367271,9370381,3111,+,WBGene00000799,protein_coding,OG0008787
248,elegans_I,I,gene,2623099,2628577,5479,-,WBGene00000800,protein_coding,OG0006984
249,elegans_IV,IV,gene,194742,202586,7845,+,WBGene00000815,protein_coding,OG0009647
250,elegans_IV,IV,gene,5649533,5651079,1547,+,WBGene00000817,protein_coding,OG0006672
251,elegans_X,X,gene,14684877,14688322,3446,+,WBGene00000822,protein_coding,OG0008345
252,elegans_I,I,gene,2606741,2617360,10620,+,WBGene00000832,protein_coding,OG0007007
253,elegans_III,III,gene,10214771,10216635,1865,-,WBGene00000833,protein_coding,OG0008360
254,elegans_III,III,gene,13687269,13692683,5415,+,WBGene00000837,protein_coding,OG0008152
255,elegans_V,V,gene,10179535,10183154,3620,+,WBGene00000840,protein_coding,OG0007096
256,elegans_III,III,gene,10911460,10916665,5206,+,WBGene00000853,protein_coding,OG0008187
257,elegans_III,III,gene,7518628,7520845,2218,-,WBGene00000854,protein_coding,OG0008086
258,elegans_II,II,gene,130983,133598,2616,-,WBGene00000857,protein_coding,OG0006628
259,elegans_IV,IV,gene,10067816,10070251,2436,+,WBGene00000858,protein_coding,OG0008013
260,elegans_I,I,gene,6780799,6784397,3599,+,WBGene00000871,protein_coding,OG0006772
261,elegans_III,III,gene,6020159,6024985,4827,+,WBGene00000874,protein_coding,OG0008746
262,elegans_III,III,gene,13768648,13771224,2577,-,WBGene00000875,protein_coding,OG0008895
263,elegans_II,II,gene,8715131,8716281,1151,-,WBGene00000887,protein_coding,OG0007629
264,elegans_IV,IV,gene,7132132,7133217,1086,-,WBGene00000888,protein_coding,OG0007491
265,elegans_I,I,gene,8646451,8651671,5221,+,WBGene00000890,protein_coding,OG0008247
266,elegans_I,I,gene,13566251,13572047,5797,-,WBGene00000891,protein_coding,OG0007820
267,elegans_II,II,gene,12028128,12036742,8615,-,WBGene00000892,protein_coding,OG0005976
268,elegans_V,V,gene,5799673,5805666,5994,+,WBGene00000893,protein_coding,OG0006062
269,elegans_III,III,gene,816145,821730,5586,+,WBGene00000895,protein_coding,OG0008189
270,elegans_I,I,gene,6553481,6554290,810,-,WBGene00000896,protein_coding,OG0009524
271,elegans_IV,IV,gene,132416,138081,5666,+,WBGene00000897,protein_coding,OG0009652
272,elegans_X,X,gene,817922,825475,7554,-,WBGene00000899,protein_coding,OG0007741
273,elegans_III,III,gene,5625135,5632323,7189,+,WBGene00000900,protein_coding,OG0006179
274,elegans_II,II,gene,14033216,14052304,19089,-,WBGene00000901,protein_coding,OG0005963
275,elegans_X,X,gene,14888488,14894326,5839,+,WBGene00000902,protein_coding,OG0008340
276,elegans_I,I,gene,8584424,8587507,3084,-,WBGene00000904,protein_coding,OG0008193
277,elegans_IV,IV,gene,9136933,9146211,9279,-,WBGene00000906,protein_coding,OG0008945
278,elegans_X,X,gene,10635908,10666875,30968,+,WBGene00000908,protein_coding,OG0006546
279,elegans_I,I,gene,332604,337845,5242,+,WBGene00000917,protein_coding,OG0005361
280,elegans_IV,IV,gene,8290273,8291496,1224,+,WBGene00000923,protein_coding,OG0009674
281,elegans_II,II,gene,4562950,4563461,512,+,WBGene00000928,protein_coding,OG0005774
282,elegans_X,X,gene,10075288,10076357,1070,+,WBGene00000930,protein_coding,OG0007695
283,elegans_II,II,gene,10581133,10582512,1380,+,WBGene00000933,protein_coding,OG0010181
284,elegans_III,III,gene,9242975,9246802,3828,+,WBGene00000934,protein_coding,OG0008796
285,elegans_V,V,gene,6758135,6760418,2284,+,WBGene00000936,protein_coding,OG0009236
286,elegans_I,I,gene,7536104,7542159,6056,-,WBGene00000938,protein_coding,OG0005292
287,elegans_X,X,gene,14268081,14277082,9002,+,WBGene00000952,protein_coding,OG0007704
288,elegans_X,X,gene,983903,991456,7554,-,WBGene00000958,protein_coding,OG0009194
289,elegans_X,X,gene,4494876,4504388,9513,-,WBGene00000959,protein_coding,OG0006308
290,elegans_IV,IV,gene,9978122,9980775,2654,+,WBGene00000964,protein_coding,OG0008015
291,elegans_I,I,gene,5354181,5357029,2849,+,WBGene00000966,protein_coding,OG0008398
292,elegans_I,I,gene,8212362,8218324,5963,-,WBGene00000967,protein_coding,OG0005451
293,elegans_I,I,gene,9647603,9649238,1636,-,WBGene00000968,protein_coding,OG0005915
294,elegans_II,II,gene,5453847,5455977,2131,+,WBGene00000969,protein_coding,OG0006103
295,elegans_III,III,gene,10640836,10642865,2030,-,WBGene00000974,protein_coding,OG0006243
296,elegans_IV,IV,gene,10142455,10146225,3771,+,WBGene00000975,protein_coding,OG0008009
297,elegans_V,V,gene,1765311,1771734,6424,-,WBGene00000976,protein_coding,OG0005103
298,elegans_V,V,gene,6026329,6034814,8486,-,WBGene00000980,protein_coding,OG0007018
299,elegans_V,V,gene,11489048,11490482,1435,-,WBGene00000982,protein_coding,OG0010386
300,elegans_V,V,gene,11602294,11604563,2270,-,WBGene00000983,protein_coding,OG0009762
301,elegans_V,V,gene,14420071,14421440,1370,-,WBGene00000985,protein_coding,OG0005597
302,elegans_X,X,gene,3360722,3362493,1772,-,WBGene00000989,protein_coding,OG0008488
